"","Name.of.the.College","State","Institutional.CGPA","Grade","Accreditation.valid.up.to"
"1","A. B. M. S. Parishad's Shri Shahu Mandir Mahavidyalaya, Parvati Ramana, Pune – 411009 (Third Cycle) ","Maharashtra","3.1","A","2022-09-11"
"2","A. G. S. College of Education, Saravali, Boisar (W), Palghar, Thane – 401501 (First Cycle)","Maharashtra","2.52","B+","2022-09-11"
"3","Abhay Yuwa Kalyan Kendra’s Arts Mahila College, Dhule – 424002 (Second Cycle) ","Maharashtra","1.72","C","2021-03-16"
"4","Abhinav Education Society's College of Education, Pune, 411046 (First Cycle)","Maharashtra","2.16","B","2020-04-30"
"5","Adarsh Arts and Commerce College,Dist. Gadchiroli, 441207 (Second Cycle)","Maharashtra","2.16","B","2020-04-30"
"6","Adivasi Seva Sahayyak and Shikshan Prasarak Sanstha's Shri D. H. Agrawal Arts, Shri Rang Avadhoot Commerce and Shri C. C. Shah and M. G. Agarwal Science College, Nawapur – 425418 (Second Cycle) ","Maharashtra","2.78","B","2020-09-13"
"7","Agricultural Development Trust's Shardabai Pawar Mahila College (Arts, Commerce and Science), Baramati, Pune – 413115 (Second Cycle) ","Maharashtra","3.09","A","2021-03-16"
"8","Ahmednagar Jilha Maratha Vidya Prasarak Samaj’s Shri Dhokeshwar College, Ahmednagar – 414304 (Second Cycle) ","Maharashtra","2.21","B","2021-03-16"
"9","Akole Taluka Education Society's Agasti Arts, Commerce And Dadasaheb Rupwate Science College, Ahmednagar – 422601 (Second Cycle) ","Maharashtra","3.06","A","2021-03-28"
"10","All India Shri Shivaji Memorial Society’s College of Hotel Management and Catering Technology, Pune, 411005 (First Cycle)","Maharashtra","3.15","A","2020-04-30"
"11","All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune - 411001 (First Cycle)","Maharashtra","3.09","A","2021-03-28"
"12","Amrutvahini College of Engineering, Sangamner, Ahmednagar – 422608 (First Cycle)","Maharashtra","3.01","A","2021-03-16"
"13","Anekant Education Society's Jaysingpur College, Kolhapur – 416101 (Second Cycle) ","Maharashtra","3.01","A","2021-03-16"
"14","Anjuman Khairul Islam's Poona College of Arts, Science and Commerce, Pune – 411001 (Second Cycle)  ","Maharashtra","2.79","B","2020-09-13"
"15","Anurag Adhyapak Mahavidyalaya, Dist. Bhandara, 441905 (First Cycle)","Maharashtra","2.33","B","2020-04-30"
"16","Appaswami Mahavidyalaya, Shendurjana (Adhao), Tq. Manora, Washim – 444403 (First Cycle)","Maharashtra","2.01","B","2020-09-13"
"17","Aqsa Women's Degree College, Bhiwandi – 421302 (First Cycle)","Maharashtra","1.72","C","2021-03-16"
"18","Armed Forces Medical College, Pune, 411040 (Third Cycle)","Maharashtra","3.66","A","2022-04-30"
"19","Arts and Commerce College, Nagthane, Satara – 415519 (First Cycle)","Maharashtra","2.36","B","2020-11-14"
"20","Arts and Commerce College, Sindhudurg, Phondaghat – 416601 (First Cycle)","Maharashtra","2.16","B","2021-01-18"
"21","Arts, Commerce and Science College, Saraswati Nagar, Gadhinglaj, Kolhapur – 416502 (First Cycle)","Maharashtra","2.22","B","2022-09-11"
"22","Ashokrao Mane Group of Institutions Faculty of Engineering & Management Studies (MBA), Dist. Kolhapur, 416112 (First Cycle)","Maharashtra","3.08","A","2020-04-30"
"23","B. L. Amlani College of Commerce and Economics M. R. Nathwani College of Arts, Vile Parle West, Mumbai – 400056 (First Cycle)","Maharashtra","2.21","B","2022-09-11"
"24","B.B. Arts, N.B. Commerce & B.P. Science College, Dist. Yavatmal, 445203 (Second Cycle)","Maharashtra","2.5","B","2020-05-10"
"25","Baba Naik Mahavidyalaya, Dist. Sangli, 415405 (First Cycle)","Maharashtra","1.9","C","2020-04-30"
"26","Balaghat Shikshan Sanstha's Arts, Science and Commerce College, Osmanabad, Naldurg – 413602 (Second Cycle)","Maharashtra","2.26","B","2021-02-18"
"27","Balbhgwan Shikshan Prasarak Mandals, Swami Vivekanand Mahavidyalaya, Dist. Latur, 413514 (Second Cycle)","Maharashtra","2.67","B","2020-04-30"
"28","Bar. S. K. Wankhede College of Education, Nagpur – 440001 (First Cycle)","Maharashtra","3.11","A","2021-03-16"
"29","Bhadrawati Shikshan Sanstha, Bhadrawati Nilkanthrao Shinde Science and Arts College, Chandrapur – 442902 (Third Cycle)","Maharashtra","2.58","B","2021-03-16"
"30","Bhagini Mandal Chopda's College of Social Work, Jalgaon – 425107 (First Cycle)","Maharashtra","2.66","B","2020-09-13"
"31","Bharatiya Vidya Bhavan’s Hazarimal Somani College of Arts and Science and Jayaramdas Patel College of Commerce and Management Studies, Chowpatty, Mumbai, 400007 (Second Cycle)","Maharashtra","2.61","B","2020-06-24"
"32","Bharatiya Vidya Bhavan's , Bhavan's College, Mumbai, 400058 (Second Cycle)","Maharashtra","3.02","A","2020-04-30"
"33","Bhawabhuti Mahavidyalaya (Arts, Commerce and Science), Amgaon, Gondia – 441902 (Second Cycle) ","Maharashtra","3.11","A","2021-03-16"
"34","Bhiwapur Mahavidyalaya, Nagpur – 441201 (First Cycle)","Maharashtra","2.54","B","2020-11-14"
"35","Birla College of Arts, Science & Commerce, Kalyan,421304 (Third Cycle)","Maharashtra","3.58","A","2023-02-20"
"36","Bombay Physical Culture Association's College of Physical Education, Mumbai – 400031 (Third Cycle)","Maharashtra","3.29","A","2021-05-24"
"37","Br. Balasaheb Khardekar College, Dist. Sindhudurg, 416516 (Second Cycle)","Maharashtra","2.08","B","2020-04-30"
