"","Gender","sub.group.name"
"1","F","Civil"
"2","F","Civil"
"3","M","Civil"
"4","M","Civil"
"5","M","Civil"
"6","F","Civil"
"7","F","Civil"
"8","F","Civil"
"19","M","Chemical"
"20","M","Chemical"
"21","M","Chemical"
"22","M","Chemical"
"23","M","Chemical"
"24","M","Chemical"
"25","M","Man made Textile Chemistry"
"27","M","Chemical"
"28","M","Civil"
"29","M","Chemical"
"30","M","Plastic"
"31","M","Machanical"
"32","M","Chemical"
"33","F","Plastic"
"34","M","Chemical"
"59","F","Chemical"
"60","F","Chemical"
"82","M","Food Technology"
"83","M","Plastic"
"84","M","Chemical"
"85","M","Chemical"
"86","M","Man made Textile Chemistry"
"87","M","Chemical"
"88","M","Chemical"
"89","M","Knitting Technology"
"100","M","Chemical"
"101","F","Chemical"
"102","F","Chemical"
"103","F","Chemical"
"104","M","Chemical"
"105","M","Chemical"
"106","M","Chemical"
"107","M","Chemical"
"108","M","Chemical"
"109","F","Chemical"
"110","M","Machanical"
"111","M","Chemical"
"112","M","Chemical"
"113","M","Chemical"
"114","M","Chemical"
"115","M","Chemical"
"116","M","Chemical"
"117","M","Chemical"
"118","M","Chemical"
"119","M","Chemical"
"120","M","Chemical"
"121","M","Chemical"
"122","M","Chemical"
"123","M","Chemical"
"124","M","Chemical"
"125","M","Chemical"
"126","F","Chemical"
"127","M","Chemical"
"128","F","Chemical"
"129","M","Chemical"
"130","M","Chemical"
"131","F","Chemical"
"132","F","Chemical"
"133","M","Chemical"
"134","M","Chemical"
"135","M","Chemical"
"136","M","Chemical"
"137","M","Chemical"
"138","M","Chemical"
"139","M","Chemical"
"140","M","Chemical"
"141","M","Chemical"
"142","M","Chemical"
"143","M","Chemical"
"144","M","Chemical"
"145","M","Chemical"
"146","M","Chemical"
"147","M","Chemical"
"148","M","Chemical"
"149","M","Chemical"
"150","M","Chemical"
"151","M","Chemical"
"152","M","Chemical"
"153","M","Chemical"
"154","M","Chemical"
"155","M","Chemical"
"156","M","Chemical"
"157","M","Chemical"
"158","M","Chemical"
"159","M","Chemical"
"160","M","Chemical"
"161","M","Chemical"
"162","M","Chemical"
"163","M","Chemical"
"164","M","Plastic"
"165","F","Chemical"
"166","M","Chemical"
"167","M","Chemical"
"168","M","Chemical"
"169","M","Chemical"
"170","M","Man made Textile Chemistry"
"171","M","Chemical"
"172","M","Chemical"
"173","M","Chemical"
"174","M","Chemical"
"175","M","Chemical"
"176","M","Chemical"
"177","M","Chemical"
"178","M","Chemical"
"179","M","Chemical"
"180","M","Chemical"
"181","M","Plastic"
"182","M","Chemical"
"183","F","Plastic"
"184","M","Plastic"
"185","M","Plastic"
"186","M","Chemical"
"187","F","Chemical"
"188","M","Chemical"
"189","M","Chemical"
"190","F","Chemical"
"191","M","Chemical"
"192","M","Chemical"
"193","M","Chemical"
"194","M","Chemical"
"195","M","Chemical"
"196","M","Chemical"
"197","M","Chemical"
"198","M","Chemical"
"199","M","Chemical"
"200","M","Chemical"
"201","M","Chemical"
"202","M","Chemical"
"203","M","Chemical"
"204","M","Chemical"
"205","M","Chemical"
"206","M","Chemical"
"207","F","Chemical"
"208","M","Chemical"
"209","M","Chemical"
"210","F","Chemical"
"211","M","Chemical"
"212","F","Chemical"
"213","M","Chemical"
"214","M","Chemical"
"215","M","Chemical"
"216","F","Chemical"
"217","M","Chemical"
"218","M","Chemical"
"219","M","Chemical"
"220","M","Chemical"
"221","F","Chemical"
"222","M","Chemical"
"223","M","Chemical"
"224","M","Chemical"
"225","M","Chemical"
"226","F","Chemical"
"227","M","Chemical"
"228","M","Chemical"
"229","F","Chemical"
"230","M","Chemical"
"231","F","Chemical"
"232","M","Chemical"
"233","M","Chemical"
"234","F","Chemical"
"235","M","Chemical"
"236","M","Chemical"
"237","M","Chemical"
"238","M","Chemical"
"239","M","Chemical"
"240","M","Chemical"
"241","M","Chemical"
"242","M","Chemical"
"243","M","Chemical"
"244","M","Chemical"
"245","M","Chemical"
"246","M","Chemical"
"247","M","Chemical"
"248","F","Chemical"
"249","F","Chemical"
"250","M","Chemical"
"251","F","Chemical"
"252","M","Chemical"
"253","M","Chemical"
"254","M","Chemical"
"255","M","Chemical"
"256","F","Chemical"
"257","M","Chemical"
"258","M","Chemical"
"259","M","Chemical"
"260","M","Chemical"
"261","M","Chemical"
"262","M","Chemical"
"263","M","Chemical"
"264","M","Chemical"
"265","M","Chemical"
"266","M","Chemical"
"267","M","Chemical"
"268","M","Chemical"
"269","M","Chemical"
"270","M","Chemical"
"271","F","Chemical"
"272","M","Chemical"
"273","M","Chemical"
"274","M","Chemical"
"275","M","Chemical"
"276","M","Chemical"
"277","M","Chemical"
"278","F","Chemical"
"279","M","Chemical"
"280","M","Chemical"
"281","M","Chemical"
"282","F","Chemical"
"283","M","Chemical"
"284","M","Chemical"
"285","M","Chemical"
"286","M","Chemical"
"287","M","Chemical"
"288","F","Chemical"
"289","M","Chemical"
"290","M","Chemical"
"291","M","Chemical"
"292","M","Chemical"
"293","M","Chemical"
"294","M","Chemical"
"295","M","Man made Textile Chemistry"
"296","M","Chemical"
"297","M","Chemical"
"298","M","Chemical"
"299","M","Chemical"
"300","M","Chemical"
"301","F","Chemical"
"302","F","Chemical"
"303","M","Chemical"
"304","M","Chemical"
"305","M","Chemical"
"306","M","Chemical"
"307","M","Chemical"
"308","F","Food Technology"
"309","F","Food Technology"
"310","F","Chemical"
"311","M","Man made Textile Chemistry"
"312","M","Food Technology"
"313","M","Food Technology"
"314","M","Chemical"
"315","M","Chemical"
"316","M","Chemical"
"317","M","Chemical"
"318","M","Chemical"
"319","M","Machanical"
"320","M","Chemical"
"321","M","Chemical"
"322","M","Chemical"
"323","M","Chemical"
"324","M","Chemical"
"325","M","Chemical"
"326","M","Chemical"
"327","M","Chemical"
"328","M","Chemical"
"329","M","Chemical"
"330","M","Chemical"
"331","M","Plastic"
"332","M","Chemical"
"333","M","Chemical"
"334","M","Chemical"
"335","M","Chemical"
"336","M","Chemical"
"337","M","Chemical"
"338","M","Chemical"
"339","M","Chemical"
"340","M","Chemical"
"341","M","Chemical"
"342","M","Plastic"
"343","M","Chemical"
"344","M","Chemical"
"345","M","Chemical"
"346","M","Chemical"
"347","M","Chemical"
"348","M","Plastic"
"349","M","Chemical"
"350","M","Chemical"
"351","M","Chemical"
"352","M",""
"358","M","Chemical"
"359","M","Chemical"
"360","M","Chemical"
"361","F","Chemical"
"362","M","Chemical"
"363","F","Chemical"
"364","M","Chemical"
"365","M","Chemical"
"366","M","Chemical"
"367","M","Chemical"
"368","F","Chemical"
