,Institute Code,Institute dict
0,1002,Amravati
1,1005,Amravati
2,1012,Yavatmal
3,1101,Buldhana
4,1105,Amravati
5,1107,Amravati
6,1114,Amravati
7,1116,Akola
8,1117,Yavatmal
9,1119,Buldhana
10,1120,Yavatmal
11,1121,Amravati
12,1123,Amravati
13,1125,Buldhana
14,1126,Amravati
15,1127,Yavatmal
16,1128,Amravati
17,1129,Amravati
18,1130,Buldhana
19,1148,Amravati
20,1180,Washim
21,1182,Buldhana
22,1265,Buldhana
23,1268,Buldhana
24,1276,Akola
25,2008,Aurangabad
26,2020,Nanded
27,2021,Aurangabad
28,2111,Aurangabad
29,2112,Aurangabad
30,2113,Aurangabad
31,2114,Aurangabad
32,2116,Nanded
33,2126,Aurangabad
34,2127,Nanded
35,2129,Latur
36,2130,Osmanabad
37,2131,Osmanabad
38,2132,Aurangabad
39,2133,Beed
40,2134,Aurangabad
41,2135,Aurangabad
42,2136,Beed
43,2137,Beed
44,2138,Jalna
45,2141,Aurangabad
46,2146,Osmanabad
47,2250,Aurangabad
48,2252,Parbhani
49,2254,Latur
50,2255,Latur
51,2516,Aurangabad
52,2522,Latur
53,2533,Aurangabad
54,2573,Nanded
55,3012,Mumbai City
56,3014,Mumbai Suburban
57,3033,Raigad
58,3035,Mumbai Suburban
59,3135,Mumbai Suburban
60,3139,Mumbai City
61,3146,Raigad
62,3148,Mumbai Suburban
63,3154,Raigad
64,3174,Thane
65,3175,Raigad
66,3176,Mumbai Suburban
67,3181,Mumbai Suburban
68,3182,Mumbai Suburban
69,3183,Mumbai City
70,3184,Mumbai Suburban
71,3185,Mumbai Suburban
72,3187,Thane
73,3188,Mumbai City
74,3189,Thane
75,3190,Thane
76,3192,Thane
77,3193,Thane
78,3194,Palghar
79,3196,Thane
80,3197,Thane
81,3198,Raigad
82,3199,Mumbai Suburban
83,3200,Ratnagiri
84,3201,Mumbai Suburban
85,3202,Ratnagiri
86,3203,Mumbai Suburban
87,3204,Mumbai Suburban
88,3206,Sindhudurg
89,3207,Raigad
90,3208,Mumbai Suburban
91,3209,Mumbai Suburban
92,3210,Thane
93,3211,Raigad
94,3212,Mumbai City
95,3214,Mumbai City
96,3215,Mumbai Suburban
97,3216,Ratnagiri
98,3217,Thane
99,3218,Palghar
100,3219,Thane
101,3221,Palghar
102,3222,Palghar
103,3223,Raigad
104,3224,Raigad
105,3351,Thane
106,3353,Raigad
107,3423,Thane
108,3436,Thane
109,3439,Raigad
110,3440,Sindhudurg
111,3445,Thane
112,3447,Raigad
113,3460,Palghar
114,3462,Ratnagiri
115,3465,Palghar
116,3467,Raigad
117,3471,Thane
118,3475,Thane
119,3477,Raigad
120,4004,Chandrapur
121,4005,Nagpur
122,4025,Nagpur
123,4104,Nagpur
124,4115,Nagpur
125,4116,Nagpur
126,4118,Wardha
127,4123,Nagpur
128,4133,Nagpur
129,4134,Nagpur
130,4135,Nagpur
131,4136,Nagpur
132,4137,Nagpur
133,4138,Nagpur
134,4139,Nagpur
