"Group No.","Diploma Courses","( Course Code) Degree Courses"
"1-Chemical Engineering Group","",""
"","101-Sub-group : A",""
"","1 Chemical Engineering 2 Chemical Technology 3 Petro-Chemical Engineering 4 Technical and Analytical Chemistry 5 Sugar Technology","507 - Chemical Engineering[First Shift] 515 - Chemical Technology[First Shift] 521 - Petroleum Engineering[First Shift] 524 - Paper and Pulp Technology[First Shift] 527 - Petro Chemical Engineering[First Shift] 528 - Petro Chemical Technology[First Shift] 816 - Pharmaceutical and Fine Chemical Technology[First Shift] 507 - Chemical Engineering 511 - Dyestuff Technology[First Shift] 513 - Pharmaceuticals Chemistry and Technology[First Shift] 605 - Mechanical and Automation Engineering"
"","102-Sub-group : B",""
"","1 Plastic Engineering 2 Polymer and Plastic Engineering 3 Plastic Technology 4 Rubber Technology 5 Plastic Mould technology","501 - Plastic and Polymer Engineering[First Shift] 506 - Polymer Engineering[First Shift] 508 - Plastic Technology[First Shift] 510 - Plastic and Polymer Technology[First Shift] 520 - Polymer Technology[First Shift] 519 - Polymer Engineering and Technology[First Shift]"
"","103-Sub-group : C",""
"","1 Food Technology","503 - Food Technology[First Shift] 534 - Food Engineering and Technology[First Shift]"
"","104-Sub-group : D",""
"","1 Surface Coating Technology 2 Oil and Paints Technology","517 - Oil and Paints Technology[First Shift] 518 - Oil Fats and Waxes Technology[First Shift] 523 - Paints Technology[First Shift] 529 - Oil Technology[First Shift] 729 - Surface Coating Technology[First Shift] 512 - Oil,Oleochemicals and Surfactants Technology[First Shift]"
"","105-Sub-group : E",""
"2-Civil Engineering Groups","",""
"","201-Sub-group : A",""
