"Sr. No","Main Group","Sub Group","Course Number","Course Name"
1,1,"101-Sub-group : A",1,"Chemical Engineering"
2,1,"101-Sub-group : A",2,"Chemical Technology"
3,1,"101-Sub-group : A",3,"Petro-Chemical Engineering"
4,1,"101-Sub-group : A",4,"Technical and Analytical Chemistry"
5,1,"102-Sub-group : B",1,"Plastic Engineering"
6,1,"102-Sub-group : B",2,"Polymer and Plastic Engineering"
7,1,"102-Sub-group : B",3,"Plastic Technology"
8,1,"102-Sub-group : B",4,"Rubber Technology"
9,1,"101-Sub-group : A",1,"Sugar Technology"
10,1,"103-Sub-group : C",1,"Food Technology"
11,1,"104-Sub-group : D",1,"Surface Coating Technology"
12,1,"104-Sub-group : D",2,"Oil and Paints Technology"
13,1,"102-Sub-group : B",5,"Plastic Mould technology"
14,2,"201-Sub-group : A",1,"Civil and Rular Engineering"
15,2,"201-Sub-group : A",2,"Civil and Sanitary Engineering"
16,2,"201-Sub-group : A",3,"Civil Engineering"
17,2,"201-Sub-group : A",4,"Construction Technology"
18,2,"201-Sub-group : A",5,"Environmental Technology"
19,2,"201-Sub-group : A",6,"Architectural Assistantship"
20,3,"301-Sub-group : A",1,"Computer Engineering"
21,3,"301-Sub-group : A",2,"Computer Technology"
22,3,"301-Sub-group : A",3,"Information Technology"
23,3,"302-Sub-group : B",1,"Digital Electronics"
24,3,"302-Sub-group : B",2,"Electronics and Communication Engineering"
25,3,"302-Sub-group : B",3,"Electronics and Video Engg"
26,3,"302-Sub-group : B",4,"Sound and Television Engineering"
27,3,"302-Sub-group : B",5,"Electronics and Telecommunication"
28,3,"302-Sub-group : B",6,"Industrial Electronics"
29,3,"302-Sub-group : B",7,"Electronics and Radio Engineering"
30,3,"302-Sub-group : B",8,"Electronics Engineering"
31,3,"302-Sub-group : B",9,"Electronics Production and Maintenance"
32,3,"302-Sub-group : B",10,Electronics
33,3,"303-Sub-group : C",1,"Medical Electronics"
34,3,"304-Sub-group : D",1,"Electrical Engineering"
35,3,"304-Sub-group : D",2,"Electrical Power System"
36,3,"305-Sub-group : E",1,Instrumentation
37,3,"305-Sub-group : E",2,"Instrumentation and Control"
38,3,"305-Sub-group : E",3,"Instrumentation Engineering"
39,3,"305-Sub-group : E",3,"Instrumentation and Control Engineering"
40,3,"302-Sub-group : B",11,"Electronics Engineering Industry Integrated"
41,3,"304-Sub-group : D",0,"Electrical And Electronics Engineering"
42,3,"301-Sub-group : A",0,"3D Animiation And Graphics"
43,3,"301-Sub-group : A",0,"Computer Science and Engineering"
