"Sr. No","Institute Code","Institute Name","CAP I","CAP II","CAP III"
1,1002,"Government College of Engineering, Amravati",Download,Download,"-"
2,1005,"Sant Gadge Baba Amravati University,Amravati",Download,Download,"-"
3,1012,"Government Engineering College, Yavatmal",Download,Download,"-"
4,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Download,Download,"-"
5,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Download,Download,"-"
6,1107,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Download,Download,"-"
7,1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Download,Download,"-"
8,1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Download,Download,"-"
9,1117,"Janata Shikshan Prasarak Mandal's Babasaheb Naik College Of Engineering, Pusad",Download,Download,"-"
10,1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Download,Download,"-"
11,1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Download,Download,"-"
12,1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Download,Download,"-"
13,1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Download,Download,"-"
14,1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Download,Download,"-"
15,1126,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Download,Download,"-"
16,1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Download,Download,"-"
17,1128,"Prof Ram Meghe College of Engineering and Management, Badnera",Download,Download,"-"
18,1129,"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon",Download,Download,"-"
19,1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Download,Download,"-"
20,1148,"P. R. Pote Patil Institute of Engineering & Research, At Kathora, Amravati",Download,Download,"-"
21,1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Download,Download,"-"
22,1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Download,Download,"-"
23,1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Download,Download,"-"
24,1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Download,Download,"-"
25,1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Download,Download,"-"
26,2008,"Government College of Engineering, Aurangabad",Download,Download,"-"
27,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Download,Download,"-"
28,2021,"University Department of Chemical Technology, Aurangabad",Download,Download,"-"
29,2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Download,Download,"-"
30,2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Download,Download,"-"
31,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Download,Download,"-"
32,2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",Download,Download,"-"
33,2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Download,Download,"-"
34,2126,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Download,Download,"-"
35,2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Download,Download,"-"
36,2129,"M.S. Bidve Engineering College, Latur",Download,Download,"-"
37,2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad",Download,Download,"-"
38,2131,"Shree Tuljabhavani College of Engineering, Tuljapur",Download,Download,"-"
39,2132,"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad",Download,Download,"-"
40,2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Download,Download,"-"
41,2134,"Peoples Education Society's College of Engineering, Aurangabad",Download,Download,"-"
